State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Wk_12,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_NonHspnc,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
AK,HC.gov,"25,167","39,499","33,191","28,630","6,716","28,736","5,735","23,001","16,312","6,689","4,717","11,595",737,"2,990","5,153","7,159","8,536","11,383","17,093","27,875","27,833","27,807","28,035","28,736","$1,105 ",$223 ,"7,024","25,366","5,057",153,"1,857","1,569","1,478","25,170","$1,008 ",$115 ,"4,770","1,978","4,597","5,541","4,836","6,655",359,"13,729","15,007","1,542","1,486","1,630",+,336,"17,077",+,"1,116","5,146","1,509","1,647",117,367,"17,716",529,"1,253","5,598","22,870","4,324","14,383","14,353",+,"11,180","3,760","13,796",+,324,"1,040","2,285","4,511","4,847","4,138","5,115","2,265","3,522","1,729","5,678",356,369,"1,255","1,385","1,071","1,181",61,+,+,+,+,+,+,+,+,+,+,+
AL,HC.gov,"438,526","535,408","517,279","476,699","18,201","477,838","74,133","403,705","185,028","218,677","85,608","99,420","8,695","34,161","58,547","84,690","101,363","131,602","185,491","462,955","464,600","465,463","470,007","477,838",$649 ,$65 ,"252,013","457,804","314,840","15,214","48,596","250,351",679,"457,379",$610 ,$44 ,"17,216","54,580","88,433","107,396","106,202","100,567","3,444","222,108","255,730","10,434","1,174","12,228",102,"54,087","138,164","2,337","4,347","254,965","1,289","12,273",113,"54,324","142,536","3,878","4,673","258,752","246,641","220,763","154,557","323,281","1,997","125,894","339,530","10,417",+,"7,074","245,664","302,329","73,567","38,015","19,326","19,658","6,929","7,681","3,259","65,652","1,043","7,747","13,966","13,950","13,440","14,946",560,+,+,+,+,+,+,+,+,+,+,+
AR,HC.gov,"145,213","208,180","183,273","166,617","27,732","166,639","36,976","129,663","64,330","65,333","39,256","25,074","2,483","12,870","21,887","30,979","37,040","49,145","72,296","159,620","160,370","160,625","162,398","166,639",$591 ,$124 ,"37,969","153,645","102,908","11,764","33,127","56,285","1,732","153,328",$507 ,$88 ,"20,710","17,214","26,233","30,625","31,680","39,078","1,099","73,172","93,467","6,528","1,175","3,867",+,"9,944","71,030",+,"2,101","71,381","1,232","3,899",92,"10,021","73,795","1,710","2,282","73,608","107,200","52,911","65,515","101,124",+,"43,535","115,265","7,839",+,810,"14,691","59,049","39,092","23,176","13,435","12,905","5,088","6,834","6,250","13,275","2,606","1,127","2,028","2,454","2,233","2,687",140,+,+,+,+,+,+,+,+,+,+,+
AZ,HC.gov,"355,637","494,757","463,498","422,537","35,954","423,025","76,584","346,441","157,449","188,992","81,188","76,261","5,749","26,759","48,297","69,606","85,565","113,809","168,468","407,446","408,368","409,548","413,689","423,025",$524 ,$113 ,"174,185","380,076","212,207","23,990","57,903","128,384","1,930","379,185",$458 ,$69 ,"52,219","41,378","63,960","75,683","78,230","106,727","4,828","206,865","216,160","48,912","1,507","16,879",330,"6,832","111,737","2,483","5,016","229,329","1,972","17,131",393,"7,367","135,407","8,778","6,480","245,497","182,245","191,868","42,060","380,965",235,"154,730","248,343","19,717",+,"2,676","32,173","161,489","90,291","51,844","31,404","32,557","13,895","19,382","19,487","33,431","4,291","2,615","5,478","5,910","5,762","8,890",485,+,+,+,+,+,+,+,+,+,+,+
CA,SBE,"3,781,298","7,884,145","3,286,374","2,457,162", NR ,"1,979,504","345,711","1,633,793","433,022","1,200,771",NR,NR,"201,505","281,051","330,144","365,642","387,674","429,772","1,790,848","1,877,394","1,895,558","1,903,018","1,902,566","1,921,840",$686 ,$187 ,"561,845","1,753,326","899,105",NR,NR,NR,NR,"1,751,690",$562 ,$135 ,"155,660","203,200","352,331","337,382","361,241","548,814","20,875","952,679","1,026,824","489,865","4,473","391,959","1,639","45,923","516,480","116,670","46,668","365,827","6,959","394,618","1,938","47,831","610,084","184,162","57,377",NR,NR,NR,NR,NR,"13,272","458,044","1,323,316","120,088","64,784","10,076","42,839","280,366","542,366","288,342","263,912","258,557","103,089","139,170","93,626","395,389","20,323","37,830","95,725","76,593","68,042","92,198","4,678",+,+,+,+,+,+,+,+,+,+,+
CO,SBE,"320,051","394,795","335,168","256,680", NR ,"282,481","49,047","233,434","119,016","114,418",NR,NR,"7,711","30,927","51,412","72,700","89,016","104,201","248,202","258,557","260,786","265,529","271,444","282,481",$570 ,$205 ,"78,279","225,668","82,074",NR,NR,NR,NR,"225,484",$457 ,$138 ,"35,057","24,144","44,005","49,044","45,782","70,446","14,003","134,285","148,189","9,790",431,"7,155",118,"1,338","64,737",+,"2,410","201,017",560,"7,203",135,"1,428","69,278",+,"2,860",NR,NR,NR,NR,NR,"1,992","101,635","91,142","87,712",+,"3,709","4,815","25,820","50,540","31,148","36,498","42,032","20,930","31,695","40,109","80,272","9,046","5,759","17,089","16,928","12,375","15,427","3,648",+,+,+,+,+,+,+,+,+,+,+
CT,SBE,"284,422","493,409","184,724","155,150","274,230","151,151","28,909","122,242","29,190","93,052",NR,NR,"2,638","12,515","22,657","30,602","31,615","37,235","141,299","143,226","143,996","145,816","147,072","151,151",$918 ,$223 ,"42,213","133,214","72,908",NR,NR,NR,NR,"133,192",$789 ,$146 ,"9,960","17,642","22,140","23,604","27,334","47,765","2,706","67,373","83,778","24,384",100,"7,278",57,"8,787","70,212","2,323","2,651","35,359",200,"7,360",93,"9,435","74,655","3,672","3,010",NR,NR,NR,NR,NR,"1,502","37,242","93,035","19,372",+,"4,336","11,535","19,443","31,226","17,215","15,398","20,280","10,972","16,519","15,762","17,759","1,099","1,622","3,792","3,086","2,921","4,787",452,+,+,+,+,+,+,+,+,+,+,+
DC,SBE,"18,291","22,697","17,093","4,582","5,604","14,930","3,432","11,498","1,186","10,312",NR,NR,226,390,614,758,831,"1,226","13,932","13,977","13,972","14,060","14,058","14,406",$739 ,$610 ,98,"4,222",558,NR,NR,NR,NR,"4,217",$622 ,$443 ,"1,502",932,"3,607","3,400","2,535","2,732",222,"6,987","7,943",282,20,887,15,"1,815","6,877",102,72,"4,860",20,892,15,"1,818","6,882",102,72,NR,NR,NR,NR,NR,360,"4,572","3,250","4,446","2,302","1,129",61,80,144,718,686,"1,031",660,880,"9,602","4,791",365,241,"1,107","1,235",825,737,281,+,+,+,+,+,+,+,+,+,+,+
DE,HC.gov,"43,842","63,163","58,062","52,785","5,823","52,931","9,732","43,199","23,356","19,843","11,497","11,859",887,"3,617","6,494","9,571","11,848","15,985","24,009","50,878","50,992","51,185","51,693","52,931",$749 ,$217 ,"9,539","48,061","15,720",491,"5,305","9,886",38,"48,014",$586 ,$169 ,"6,700","4,797","7,752","9,107","9,041","14,668",866,"24,347","28,584","3,255",88,+,+,"4,793","20,129",313,895,"20,053",100,"3,395",25,"4,984","21,527",842,"1,025","21,033","32,980","16,696","12,853","40,078",177,"16,084","16,172","19,899",599,489,"4,612","14,123","9,967","7,541","5,512","6,022","2,966","4,485","1,826","4,657",589,380,682,842,772,"1,300",92,+,+,+,+,+,+,+,+,+,+,+
FL,HC.gov,"3,547,489","5,048,831","4,968,970","4,785,476","80,186","4,735,415","722,759","4,012,656","2,456,717","1,555,939","1,259,616","1,197,101","75,306","427,152","820,452","1,194,800","1,458,792","1,866,805","2,506,328","4,611,777","4,628,517","4,633,650","4,670,246","4,735,415",$641 ,$67 ,"2,367,077","4,604,663","3,059,411","53,006","455,074","2,549,445","1,886","4,601,986",$591 ,$49 ,"556,153","547,888","779,563","944,288","876,825","917,243","113,455","2,283,157","2,452,258","775,908","2,578","81,648","1,054","255,087","623,288","22,792","22,246","2,950,814","3,424","82,873","1,602","263,959","996,280","69,832","29,071","3,288,374","1,315,628","2,643,879","146,554","4,588,861","2,816","1,405,338","3,111,742","199,673","15,846","72,304","2,368,018","3,089,787","709,094","325,237","188,710","164,095","60,677","81,770","43,741","265,655","31,396","26,576","41,914","49,983","50,501","61,289","3,996",+,+,+,+,+,+,+,+,+,+,+
