State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,AB_Cnsmr,AB_New_Cnsmr,AB_Tot_Renrl,AB_Actv_Renrl,AB_Auto_Renrl,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Wk_12,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_NonHspnc,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female,
AK,HC.gov,"22,903","36,398","30,512","21,786","6,349","26,079","4,584","21,495","15,845","5,650","6,058","9,787","6,143","1,059","5,084","3,494","1,590",414,"2,607","4,323","6,155","7,397","9,977","14,132","26,133","25,854","25,493","25,539","26,079","$1,043 ",$344 ,"5,054","19,835","4,092",93,"1,131","1,187","1,681","19,249",$947 ,$114 ,"4,547","1,773","3,962","5,061","4,503","5,916",317,"12,421","13,658","1,420","1,711","1,368",*,309,"15,621",*,"1,047","4,232","1,734","1,384",131,331,"16,203",472,"1,169","4,655","21,005","3,654","13,015","13,064",+,"12,441","2,618","11,020",+,127,951,"2,057","4,205","4,693","3,662","5,460","1,204","2,664","2,007","5,670",307,357,"1,263","1,393","1,121","1,167",62,+,+,+,+,+,+,+,+,+,+,+,
AL,HC.gov,"418,547","510,217","493,356","429,739","17,151","455,776","60,346","395,430","193,074","202,356","102,537","90,537","282,921","31,750","251,171","96,362","154,809","5,458","34,941","59,090","81,133","97,512","126,565","169,725","451,356","451,058","449,399","449,201","455,776",$743 ,$126 ,"149,890","415,568","221,936","10,227","35,521","175,509",679,"415,172",$678 ,$70 ,"14,889","51,688","82,459","103,784","103,605","95,551","3,800","216,403","239,373","10,521","1,210","12,468",103,"54,960","138,475","2,116","4,511","231,412","1,303","12,511",119,"55,221","142,794","3,598","4,824","235,406","234,015","211,240","145,455","310,321","1,718","198,749","248,467","6,842",+,"6,581","239,997","293,056","69,545","34,023","17,752","20,281","4,223","6,153","4,162","60,400",886,"7,088","12,413","12,809","12,596","14,053",555,+,+,+,+,+,+,+,+,+,+,+,
AR,HC.gov,"134,429","195,818","174,090","145,960","24,891","160,307","29,746","130,561","76,556","54,005","55,853","20,703","104,806","17,892","86,914","49,950","36,964","1,316","11,711","21,365","31,076","37,449","49,587","69,344","157,568","157,033","156,478","156,786","160,307",$839 ,$162 ,"44,958","139,608","51,021","3,431","14,776","31,167","1,647","139,372",$779 ,$79 ,"20,701","16,196","24,671","29,055","30,582","38,040","1,062","70,501","89,806","6,501","1,298","4,206",*,"10,146","73,754",*,"2,055","61,703","1,351","4,226",89,"10,214","76,656","1,623","2,241","63,907","104,267","49,539","62,251","98,056","1,217","52,071","55,449","50,562","1,008",303,"14,299","51,012","36,801","24,216","14,563","17,075","3,085","5,830","7,422","13,361","2,688","1,134","2,019","2,471","2,236","2,678",135,+,+,+,+,+,+,+,+,+,+,+,
AZ,HC.gov,"299,512","429,665","401,271","325,289","34,159","357,144","56,742","300,402","172,889","127,513","132,452","40,437","234,910","36,832","198,078","103,044","95,034","2,848","21,534","39,877","59,712","75,872","103,934","148,618","361,766","358,165","353,000","350,412","357,144",$688 ,$229 ,"62,361","296,237","119,059","11,136","35,620","70,183","2,120","295,299",$555 ,$133 ,"47,071","34,469","51,832","62,052","63,911","92,951","4,858","174,957","182,187","43,865","1,672","16,684",280,"6,892","102,635","2,413","4,806","177,897","2,070","16,912",344,"7,336","123,577","7,502","6,069","193,334","155,952","157,327","33,513","323,631",737,"200,376","142,749","13,282",+,880,"30,104","141,292","73,958","41,496","26,223","30,383","8,066","14,177","20,669","29,340","3,642","2,339","4,664","5,172","5,110","7,964",449,+,+,+,+,+,+,+,+,+,+,+,
CA,SBE,"4,028,011","8,224,767","3,413,132","2,174,964", NR ,"1,927,371","235,055","1,692,316","538,476","1,153,840",NR,NR,NR,NR,NR,NR,NR,"177,638","268,135","345,286","389,076","410,902","451,576","1,942,928","1,939,528","1,936,095","1,924,899","1,910,476","1,906,033",$737 ,$264 ,"212,367","1,578,342","837,535",NR,NR,NR,NR,"1,577,627",$579 ,$165 ,"146,696","204,229","339,135","339,882","349,038","527,890","20,501","931,847","995,514","472,605","4,325","407,589","1,585","43,929","494,240","113,093","48,297","341,708","6,640","410,142","1,896","45,753","583,726","175,973","58,335",NR,NR,NR,NR,NR,"15,592","564,476","1,181,687","107,896","57,720","7,810","29,895","296,602","535,282","276,065","245,645","269,187","79,066","131,285","86,429","406,325","19,850","39,968","95,604","80,254","70,100","94,961","5,588",+,+,+,+,+,+,+,+,+,+,+,
CO,SBE,"360,901","399,062","320,737","214,846", NR ,"277,238","37,335","239,903","146,249","93,654",NR,NR,NR,NR,NR,NR,NR,"2,975","27,471","49,314","48,988","86,126","85,554","84,775","256,001","258,341","262,510","266,988","276,680",$673 ,$318 ,"46,686","192,067","73,868",NR,NR,NR,NR,"191,153",$511 ,$187 ,"34,292","24,137","43,764","49,444","45,639","67,420","12,542","131,758","145,475","5,236",238,"4,497",64,649,"39,860",+,"1,477","227,579",325,"4,529",75,698,"42,306",+,"1,726",NR,NR,NR,NR,NR,"1,375","106,571","80,695","88,597",+,161,"6,853","31,308","47,780","30,460","35,963","49,513",389,"1,289","80,375","73,458","9,025","5,391","14,679","15,607","11,505","14,023","3,228",+,+,+,+,+,+,+,+,+,+,+,
CT,SBE,"319,734","593,474","198,888","159,494","351,018","156,745","26,902","129,843","55,130","74,713",NR,NR,NR,NR,NR,NR,NR,"1,409","13,411","23,452","33,294","43,651","49,882","140,877","148,852","149,523","150,460","150,719","153,499","$1,030 ",$277 ,"38,233","123,907","83,665",NR,NR,NR,NR,"123,873",$952 ,$100 ,"9,418","19,059","24,605","26,884","28,269","45,672","2,838","68,694","88,051","29,131",129,"7,713",41,"10,454","70,109","2,424","3,093","33,651",129,"7,819",77,"11,303","75,384","4,006","3,536",NR,NR,NR,NR,NR,"1,741","38,213","101,603","15,188",+,0,"17,126","27,786","37,708","18,171","14,605","25,814",168,0,"32,493","19,393","1,111","1,594","4,040","3,489","3,268","5,291",600,+,+,+,+,+,+,+,+,+,+,+,
DC,SBE,"18,276","22,977","18,391","3,394","4,586","16,053","3,522","12,531","1,456","11,075",NR,NR,NR,NR,NR,NR,NR,147,419,640,878,"1,044","1,508","15,136","15,290","15,323","15,348","15,323","15,620",$815 ,$725 ,*,"3,017",503,NR,NR,NR,NR,"3,012",$480 ,$398 ,"1,635","1,032","3,629","3,764","2,735","2,981",277,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,433,"5,263","3,356","4,705","2,296",298,69,108,*,*,*,"1,242",*,326,"11,878","5,255",398,269,"1,162","1,399",952,774,301,"15,722",977,"14,745",0,"1,534","4,115","4,521","3,007","2,545",NR,NR,
DE,HC.gov,"36,567","54,164","49,957","38,826","5,058","44,663","6,758","37,905","23,460","14,445","13,473","9,987","21,391","3,022","18,369","10,410","7,959",467,"2,926","5,324","7,981","9,843","13,747","19,724","44,429","44,125","43,649","43,820","44,663",$901 ,$320 ,"5,529","36,058","10,073",369,"3,075","6,595",34,"36,026",$720 ,$172 ,"6,016","3,972","6,282","7,457","7,442","12,682",812,"20,235","24,428","2,849",*,"3,365",*,"4,097","18,296",309,819,"14,861",63,"3,376",20,"4,244","19,565",759,939,"15,697","29,432","12,382","11,537","33,126","1,123","20,891","10,629","11,564",456,165,"3,138","10,783","8,752","6,803","4,805","6,210","1,700","3,405","2,040","4,087",732,287,554,698,662,"1,078",76,+,+,+,+,+,+,+,+,+,+,+,
FL,HC.gov,"3,352,050","4,859,180","4,787,915","4,435,104","73,292","4,538,772","725,149","3,813,623","2,786,806","1,026,817","1,934,687","852,119","3,916,082","608,683","3,307,399","2,441,094","866,305","48,086","477,391","915,049","1,358,827","1,686,194","2,136,458","2,720,231","4,482,268","4,485,371","4,474,300","4,479,800","4,538,772",$806 ,$106 ,"1,525,517","4,298,085","2,164,168","25,354","233,535","1,901,318","3,961","4,295,772",$740 ,$62 ,"563,684","503,167","719,675","919,788","837,919","875,830","118,709","2,186,272","2,352,500","802,052","3,289","85,403","1,058","257,856","615,530","24,419","23,015","2,726,150","4,359","86,607","1,553","266,406","983,872","70,040","29,584","3,096,351","1,206,831","2,529,889","137,683","4,401,089","3,437","1,677,199","2,228,615","624,080","5,441","21,739","2,466,086","3,039,351","650,774","327,743","180,995","187,383","27,718","54,308","48,761","237,407","30,015","23,716","35,732","44,659","44,918","54,650","3,717",+,+,+,+,+,+,+,+,+,+,+,
